"NUM OF MASTER 
PARAMS",Num of Strings,Num of Groups,List Descriptor String,Data to AUTOMATICALLY DROP,Num of Outputs,,,,,,,,,,,,,,,,,,,
5,6,1,CN_DB_V8,1233,1,,,,,,,,,,,,,,,,,,,
DATAID,T/V/L/U,STRINGS,,,,,,GROUPS, PARAMETERS,,,,,,,,,,,,,,,
DATAid,T/V/L,Compund Group,Compound,SMILES,Formula,Source,Method,Null,CN (Exp),Mor32e,L/Bw,nROR,ESpm03d,nROH,CIC1,RDF090m,nR=Cs,nOHp,nHDon,DISPm,O-059,S3K,O-056,Mor16u
1111,L,Aromatics,butyltetralin,CCCCC1CCCc2ccccc12,C14H20,NREL (2014),Unknown,0,18,0.079,3.65,0,3.524,0,2.753,0.129,0,0,0,8.536,0,2.194,0,0.484
1112,L,Aromatics,2(S)-phenylundecane,CCCCCCCCC[C@H](C)c1ccccc1,C17H28,NREL (2014),Unknown,0,51,0.696,30.36,0,3.067,0,3.406,2.212,0,0,0,15.209,0,6.507,0,1.225
1113,L,Aromatics,nonylbenzene,CCCCCCCCCc1ccccc1,C15H24,NREL (2014),Unknown,0,50,0.791,41.75,0,2.598,0,3.169,0.805,0,0,0,14.412,0,6.326,0,1.099
1114,L,Aromatics,ethylbenzene,CCc1ccccc1,C8H10,Creton,?,0,8,-0.037,3.61,0,2.598,0,1.935,0,0,0,0,6.728,0,1.353,0,0.221
1115,L,Aromatics,"1,2,4-Trimethylbenzene ",CC1=CC(C)=C(C)C=C1,C9H12,NREL (2014),IQT,0,8.9,-0.124,2.31,0,3.471,0,2.264,0,0,0,0,2.216,0,1.318,0,0.528
1116,L,Aromatics,2(R)-phenyltetradecane,CCCCCCCCCCCC[C@@H](C)c1ccccc1,C20H34,NREL (2014),Unknown,0,49,1.143,51.05,0,3.067,0,3.781,2.86,0,0,0,15.355,0,8.921,0,1.654
1117,L,Aromatics,2(S)-phenyltetradecane,CCCCCCCCCCCC[C@H](C)c1ccccc1,C20H34,NREL (2014),Unknown,0,49,1.162,51.17,0,3.067,0,3.781,2.814,0,0,0,15.017,0,8.921,0,1.66
1118,L,Aromatics,4(R)-phenyldodecane,CCCCCCCC[C@@H](CCC)c1ccccc1,C18H30,NREL (2014),Unknown,0,42,0.645,8.44,0,3.067,0,3.538,3.226,0,0,0,9.853,0,6.672,0,1.324
1119,L,Aromatics,tetralin,C1CCc2ccccc2C1,C10H12,NREL (2014),IQT,0,8.9,-0.122,2.56,0,3.253,0,2.091,0,0,0,0,5.402,0,1.094,0,0.324
1120,L,Aromatics,"1,2,3,4-tetramethylbenzene",Cc1ccc(C)c(C)c1C,C10H14,Creton,?,0,17,-0.121,1.65,0,3.751,0,2.626,0,0,0,0,2.333,0,1.233,0,0.656
1121,L,Aromatics,cyclohexene,C1CCC=CC1,C6H10,Dahmen/Marquadt (ASG),IQT,0,16.2,0.136,1.03,0,2.281,0,2,0,2,0,0,2.273,0,1.163,0,0.178
1122,L,Aromatics,isopropylbenzene,CC(C)c1ccccc1,C9H12,Creton,?,0,15,0.029,4.29,0,3.067,0,2.137,0,0,0,0,6.736,0,1.563,0,0.36
1123,L,Aromatics,2(R)-phenyloctane,CCCCCC[C@@H](C)c1ccccc1,C14H22,NREL (2014),Unknown,0,33,0.326,17.6,0,3.067,0,2.953,1.015,0,0,0,10.773,0,4.339,0,0.853
1124,L,Aromatics,2(S)-phenyloctane,CCCCCC[C@H](C)c1ccccc1,C14H22,NREL (2014),Unknown,0,33,0.333,17.65,0,3.067,0,2.953,0.97,0,0,0,10.805,0,4.339,0,0.859
1125,L,Aromatics,"1,4-dioctyltetralin",CCCCCCCCC1CCc2ccccc2C1CCCCCCCC,C26H44,Creton,?,0,26,1.409,3.04,0,3.687,0,4.164,8.282,0,0,0,7.757,0,7.789,0,1.794
1126,L,Aromatics,"1,2-dimethylbenzene",Cc1ccccc1C,C8H10,NREL (2014),CFR,0,8,-0.119,1.55,0,3.081,0,1.973,0,0,0,0,4.858,0,1.101,0,0.454
1127,L,Aromatics,?-terpinene,CC1=CCC(=CC1)C(C)C,C10H16,Dahmen/Marquadt (ASG),IQT,0,18.7,0.46,5.72,0,3.98,0,2.435,0,2,0,0,2.552,0,1.996,0,0.505
1128,L,Aromatics,"1,2,3,4-tetrahydronaphthalene",C12=C(CCCC2)C=CC=C1,C10H12,Dahmen/Marquadt (ASG),IQT,0,7.2,-0.129,2.57,0,3.253,0,2.091,0,0,0,0,4.547,0,1.094,0,0.322
1129,L,Aromatics,2-methyl-2-phenylpentadecane,CCCCCCCCCCCCCC(C)(C)c1ccccc1,C22H38,Creton,?,0,39,1.531,40.54,0,3.726,0,3.958,4.345,0,0,0,13.428,0,9.085,0,1.764
1130,L,Aromatics,"1,2-dimethoxybenzene",COC1=CC=CC=C1OC,C8H10O2,Dahmen/Marquadt (ASG),IQT,0,8.1,-0.057,1.42,0,3.589,0,1.875,0,0,0,0,1.378,0,1.567,0,0.067
1131,L,Aromatics,diphenylmethane,c1ccc(cc1)Cc1ccccc1,C13H12,NREL (2014),Unknown,0,11,-0.034,5.6,0,3.253,0,2.818,0,0,0,0,0.137,0,2.188,0,0.062
1132,L,Aromatics,n-dodecylbenzene,CCCCCCCCCCCCc1ccccc1,C18H30,NREL (2014),Unknown,0,68,1.229,67.78,0,2.598,0,3.594,1.408,0,0,0,17.344,0,8.918,0,1.606
1133,L,Aromatics,tetradecylbenzene,CCCCCCCCCCCCCCc1ccccc1,C20H34,NREL (2014),Unknown,0,72,1.537,86.22,0,2.598,0,3.836,1.809,0,0,0,15.495,0,10.682,0,1.909
1134,L,Aromatics,"(3R,6R)-dimethyl-3-(beta-naphthyl)octane",CC[C@@H](C)C[C@@](C)(CC)c1ccc2ccccc2c1,C19H26,?,?,0,18,-0.195,8.95,0,4.086,0,2.995,0.926,0,0,0,10.77,0,2.998,0,0.801
1135,L,Aromatics,"(3S,6R)-dimethyl-3-(beta-naphthyl)octane",CC[C@H](C)C[C@@](C)(CC)c1ccc2ccccc2c1,C19H26,?,?,0,18,-0.097,9.91,0,4.086,0,2.995,1.499,0,0,0,13.003,0,2.998,0,0.557
1136,L,Aromatics,"(3S,6S)-dimethyl-3-(beta-naphthyl)octane",CC[C@H](C)C[C@](C)(CC)c1ccc2ccccc2c1,C19H26,?,?,0,18,-0.02,9.52,0,4.086,0,2.995,0.524,0,0,0,13.451,0,2.998,0,0.016
1137,L,Aromatics,"1,5-cyclooctadiene",C1CC=CCCC=C1,C8H12,Dahmen/Marquadt (ASG),IQT,0,24.9,0.358,1.46,0,2.922,0,2.4,0,4,0,0,1.846,0,2.405,0,-0.334
1138,L,Aromatics,"(3R,6S)-dimethyl-3-(beta-naphthyl)octane",CC[C@@H](C)C[C@](C)(CC)c1ccc2ccccc2c1,C19H26,?,?,0,18,-0.114,9.46,0,4.086,0,2.995,1.4,0,0,0,10.994,0,2.998,0,0.513
1139,L,Esters,methoxymethane,COC,C2H6O,NREL (2014),Unknown,0,67,0.176,3.7,1,2.006,0,1.946,0,0,0,0,5.866,1,2,0,-0.066
1140,L,Esters,isopropyl (9Z)-octadec-9-enoate,CCCCCCCC/C=C\CCCCCCCC(=O)OC(C)C,C21H40O2,?,?,0,87,1.313,14.49,0,4.293,0,3.984,2.108,2,0,0,12.15,0,19.33,0,1.269
1141,L,Esters,1-methoxyhexane,CCCCCCOC,C7H16O,Dahmen/Marquadt (ASG),IQT,0,84.7,0.482,29.39,1,2.304,0,3,0.034,0,0,0,6.434,1,7.163,0,0.245
1142,L,Esters,diisoamyl ether,CC(C)CCOCCC(C)C,C10H22O,Dahmen/Marquadt (ASG),IQT,0,83.1,0.33,14.78,1,3.202,0,3.397,2.188,0,0,0,1.872,1,9.961,0,0.386
1143,L,Esters,2-ethylhexyl (9Z)-octadec-9-enoate,CCCCCCCC/C=C\CCCCCCCC(=O)OCCC(CC)CCC,C26H50O2,NREL (2014),Other Ignition Delay Method,0,88,1.597,14.78,0,4.257,0,4.361,3.75,2,0,0,6.404,0,20.945,0,1.777
1144,L,Esters,cyclopentyl methyl ether,COC1CCCC1,C6H12O,Dahmen/Marquadt (ASG),IQT,0,47.4,-0.078,3.91,1,2.923,0,2.685,0,0,0,0,2.552,1,1.165,0,-0.112
1145,L,Esters,2-ethylhexyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCCC(CC)CCC,C24H48O2,NREL (2014),Other Ignition Delay Method,0,98,1.831,64.87,0,4.124,0,4.626,4.236,0,0,0,7.666,0,19.242,0,1.634
1146,L,Esters,methyl octanoate,CCCCCCCC(=O)OC,C9H18O2,NREL (2014),CFR,0,34,0.569,30.31,0,3.975,0,2.989,0.423,0,0,0,13.589,0,7.534,0,0.525
1147,L,Esters,propyl (9Z)-octadec-9-enoate,CCCCCCCC/C=C\CCCCCCCC(=O)OCCC,C21H40O2,?,?,0,59,1.383,14.42,0,4.169,0,4.019,2.129,2,0,0,11.675,0,19.33,0,1.033
1148,L,Esters,3-(3-methoxypropoxy)propan-1-ol,COCCCOCCCO,C7H16O3,?,?,0,43,0.376,41.95,2,3.212,1,2.716,0.009,0,1,1,4.695,2,9.028,1,-0.2
1149,L,Esters,diisopropyl ether,CC(OC(C)C)C,C6H14O,Dahmen/Marquadt (ASG),IQT,0,22.6,0.231,2.8,1,3.393,0,3.014,0,0,0,0,1.954,1,5.961,0,-0.161
1150,L,Esters,methyl decanoate,CCCCCCCCCC(=O)OC,C11H22O2,Dahmen/Marquadt (ASG),IQT,0,52.7,0.785,45.48,0,3.975,0,3.365,0.825,0,0,0,15.477,0,9.551,0,0.721
1151,L,Esters,propyl octadecanoate,CCCCCCCCCCCCCCCCCC(=O)OCCC,C21H42O2,?,?,0,80,1.951,158.86,0,4.022,0,4.5,2.487,0,0,0,15.456,0,19.59,0,1.209
1152,L,Esters,sec-butyl octadecanoate,CCCCCCCCCCCCCCCCCC(=O)OC(C)CC,C22H44O2,?,?,0,98,1.892,123.37,0,4.165,0,4.544,2.462,0,0,0,14.472,0,18.853,0,1.606
1153,L,Esters,isopropyl octadecanoate,CCCCCCCCCCCCCCCCCC(=O)OC(C)C,C21H42O2,?,?,0,97,1.864,146.02,0,4.165,0,4.459,2.466,0,0,0,13.879,0,19.59,0,1.583
1154,L,Esters,octadecanoic acid,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,?,?,0,62,1.765,124.22,0,3.86,1,4.252,2.409,0,0,1,18.865,0,18.696,0,1.478
1155,L,Esters,"2,3-di(tetradecanoyloxy)propyl tetradecanoate",CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,C45H86O6,?,?,0,100,4.143,3.23,0,5.159,0,5.437,9.953,0,0,0,7.726,0,39.941,0,4.094
1156,L,Esters,isobutyl (9Z)-octadec-9-enoate,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(C)C,C22H42O2,?,?,0,60,1.466,13.6,0,4.257,0,4.007,2.862,2,0,0,10.935,0,20.377,0,1.264
1157,L,Esters,butyl tetradecanoate,CCCCCCCCCCCCCC(=O)OCCCC,C18H36O2,?,?,0,69,1.504,113.2,0,4.022,0,4.218,1.698,0,0,0,11.167,0,16.636,0,0.684
1158,L,Esters,hexyl acetate,CCCCCCOC(=O)C,C8H16O2,NREL (2014),IQT,0,33.8,0.423,23.21,0,3.985,0,2.769,0.445,0,0,0,11.67,0,8.787,0,0.212
1159,L,Esters,"2,3-di(dodecanoyloxy)propyl dodecanoate",CCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCC,C39H74O6,?,?,0,100,3.222,3.26,0,5.159,0,5.157,8.746,0,0,0,6.65,0,34.072,0,3.434
1160,L,Esters,methyl hexanoate,CCCCCC(=O)OC,C7H14O2,Dahmen/Marquadt (ASG),IQT,0,24.5,0.39,18.04,0,3.975,0,2.524,0.024,0,0,0,10.818,0,5.508,0,0.381
1161,L,Esters,methyl valerate,CCCCC(=O)OC,C6H12O,Dahmen/Marquadt (ASG),IQT,0,11.2,0.256,12.37,0,3.975,0,2.251,0.001,0,0,0,10.213,0,4.636,0,0.288
1162,L,Esters,diisobutyl ether,CC(C)COCC(C)C,C8H18O,Dahmen/Marquadt (ASG),IQT,0,59.7,0.308,11.03,1,3.202,0,3.224,0.002,0,0,0,0.528,1,7.961,0,0.213
1163,L,Esters,"2,3-di(butanoyloxy)propyl butanoate",CCCC(=O)OC(COC(=O)CCC)COC(=O)CCC,C15H26O6,?,?,0,7,0.522,3.47,0,5.159,0,3.25,1.682,0,0,0,5.42,0,11.263,0,0.443
1164,L,Esters,sec-butyl (9Z)-octadec-9-enoate,CCCCCCCC/C=C\CCCCCCCC(=O)OC(C)CC,C22H42O2,NREL (2014),Other Ignition Delay Method,0,72,1.363,13.63,0,4.293,0,4.082,2.104,2,0,0,11.15,0,18.596,0,1.317
1165,L,Esters,Triethyleneglycol monomethyl ether (2-[2-(2-Methoxyethoxy)ethoxy]ethanol),COCCOCCOCCO,C7H16O4,?,?,0,75,0.289,7.39,3,3.595,1,2.921,0.133,0,1,1,2.786,3,9.844,1,-0.163
1166,L,Esters,"1,6-dimethoxyhexane",COCCCCCCOC,C8H18O2,?,?,0,88,0.549,49.21,2,2.946,0,3.181,0.069,0,0,0,0.001,2,9.067,0,0.015
1167,L,Esters,"1,2-dimethoxyethane",COCCOC,C4H10O2,NREL (2014),Unknown (confirm!!!),0,90,0.277,8.85,2,2.946,0,2.451,0,0,0,0,2.326,2,5.264,0,-0.159
1168,L,Esters,ethyl tetradecanoate,CCCCCCCCCCCCCC(=O)OCC,C16H32O2,?,?,0,67,1.393,92.07,0,4.022,0,4.001,1.645,0,0,0,15.346,0,14.636,0,0.906
1169,L,Esters,butyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCCCC,C20H40O2,?,?,0,89,1.774,141.64,0,4.022,0,4.411,2.1,0,0,0,10.936,0,18.636,0,0.885
1170,L,Esters,n-butyl octadecanoate,CCCCCCCCCCCCCCCCCC(=O)OCCCC,C22H44O2,?,?,0,86,2.066,173.11,0,4.022,0,4.584,2.502,0,0,0,13.639,0,20.636,0,1.078
1171,L,Esters,2-methyl-9-decenoate,CC(CCCCCCC=C)C(=O)[O-],C11H19O2,Dahmen/Marquadt (ASG),IQT,0,38.3,0.595,22.78,0,4.092,0,2.511,1.323,1,0,0,14.899,0,7.577,0,0.674
1172,L,Esters,"methyl (9Z,12Z,15Z)-octadeca-9,12,15-trienoate",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,C19H32O2,?,?,0,23,0.992,9.92,0,4.377,0,3.238,1.885,6,0,0,8.656,0,16.804,0,0.827
1173,L,Esters,ethyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCC,C18H36O2,?,?,0,87,1.665,117.79,0,4.022,0,4.218,2.047,0,0,0,16.408,0,16.636,0,1.086
1174,L,Esters,2-methoxyethan-1-ol,COCCO,C3H8O2,NREL (2014),Unknown,0,13,0.141,6.18,1,2.582,1,1.665,0,0,1,1,6.139,1,3.922,1,-0.125
1175,L,Esters,methyl octadecanoate,CCCCCCCCCCCCCCCCCC(=O)OC,C19H38O2,?,?,0,81,1.948,135.52,0,3.975,0,4.373,2.432,0,0,0,16.918,0,17.586,0,1.497
1176,L,Esters,butyl butanoate,CCCCOC(=O)CCC,C8H16O2,NREL (2014),IQT,0,18,0.298,19.08,0,4.022,0,2.721,0.053,0,0,0,2.55,0,6.636,0,0.179
1177,L,Esters,methyl dodecanoate,CCCCCCCCCCCC(=O)OC,C13H26O2,?,?,0,61,1.082,63.56,0,3.975,0,3.677,1.227,0,0,0,16.871,0,11.563,0,0.935
1178,L,Esters,"2,2-dimethoxypropane",CC(OC)(OC)C,C5H12O2,Dahmen/Marquadt (ASG),IQT,0,31.5,0.287,1.21,2,3.977,0,2.58,0,0,0,0,1.146,2,2.598,0,-0.15
1179,L,Esters,methyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OC,C17H34O2,?,?,0,74,1.665,108.56,0,3.975,0,4.171,2.031,0,0,0,16.346,0,15.58,0,1.341
1180,L,Esters,"methyl (2E,4E)-hexa-2,4-dienoate",C/C=C/C=C/C(=O)OC,C7H10O2,NREL (2014),IQT,0,6,0.108,18.17,0,3.895,0,1.488,0.015,4,0,0,7.671,0,4.98,0,0.006
1181,L,Esters,ethyl decanoate,CCCCCCCCCC(=O)OCC,C12H24O2,NREL (2014),CFR,0,51,0.789,49.8,0,4.022,0,3.466,0.841,0,0,0,12.276,0,10.636,0,0.536
1182,L,Esters,methyl (9Z)-hexadec-9-enoate,CCCCCC/C=C\CCCCCCCC(=O)OC,C17H32O2,NREL (2014),Other Ignition Delay Method,0,51,1.17,15.68,0,4.128,0,3.617,1.649,2,0,0,14.652,0,15.319,0,0.925
1183,L,Esters,butyl valerate,CCCCC(=O)OCCCC,C9H18O2,Dahmen/Marquadt (ASG),IQT,0,22.4,0.386,25.15,0,4.022,0,2.933,0.07,0,0,0,1.369,0,7.534,0,0.177
1184,L,Esters,1-Butoxy-2-propanol ,CCCCOCC(C)O,C7H16O2,Dahmen/Marquadt (ASG),IQT,0,36.1,0.247,15.02,1,3.194,1,2.584,0.025,0,0,1,6.548,1,7.922,1,-0.001
1185,L,Esters,acetaldehyde diethyl acetal,CC(OCC)OCC,C6H14O2,Dahmen/Marquadt (ASG),IQT,0,54.3,0.174,1.57,2,3.565,0,2.821,0,0,0,0,2.751,2,4.922,0,-0.122
1186,L,Esters,vinyl laurate,CCCCCCCCCCCC(=O)OC=C,C14H26O2,Dahmen/Marquadt (ASG),IQT,0,72.4,1.144,71.96,0,4.022,0,3.27,1.211,0,0,0,20.383,0,12.377,0,1.146
1187,L,Esters,1-butoxy-2-propanol,CC(O)COCCCC,C7H16O2,NREL (2014),IQT,0,36.1,0.247,15.02,1,3.194,1,2.584,0.025,0,0,1,6.48,1,7.922,1,-0.001
1188,L,Esters,diethylene glycol dimethyl ether,COCCOCCOC,C6H14O3,Dahmen/Marquadt (ASG),IQT,0,117.6,0.358,6.97,3,3.422,0,2.959,0,0,0,0,0.414,3,7.883,0,-0.231
1189,L,Esters,sec-butyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OC(C)CC,C20H40O2,?,?,0,85,1.607,95.51,0,4.165,0,4.37,2.06,0,0,0,13.459,0,16.874,0,1.448
1190,L,Esters,butyl decanoate,CCCCCCCCCC(=O)OCCCC,C14H28O2,NREL (2014),CFR,0,55,0.898,65.56,0,4.022,0,3.753,0.895,0,0,0,7.433,0,12.636,0,0.338
1191,L,Esters,"1,4-cyclohexanedimethanol divinyl ether",C=COCC1CCC(COC=C)CC1,C12H20O2,Dahmen/Marquadt (ASG),IQT,0,61.2,0.673,8.49,2,3.589,0,2.553,0.981,0,0,0,0.029,2,4.466,0,0.243
1192,L,Esters,"methyl (9Z,12Z)-octadeca-9,12-dienoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,C19H34O2,?,?,0,42,1.19,6.65,0,4.26,0,3.49,1.252,4,0,0,10.871,0,17.065,0,1.009
1193,L,Esters,methyl (9Z)-octadec-9-enoate,CCCCCCCC/C=C\CCCCCCCC(=O)OC,C19H36O2,NREL (2014),IQT (avg),0,59,1.419,13.37,0,4.128,0,3.856,2.075,2,0,0,15.161,0,17.325,0,1.273
1194,L,Esters,dodecyl vinyl ether,C=COCCCCCCCCCCCC,C14H28O,Dahmen/Marquadt (ASG),IQT,0,85.8,1.249,95.36,1,2.533,0,3.583,1.039,0,0,0,10.503,1,13.701,0,1.035
1195,L,Esters,1-methoxy-2-propanol,CC(COC)O,C4H10O2,Dahmen/Marquadt (ASG),IQT,0,14.3,0.17,3.84,1,3.082,1,1.783,0,0,0,1,4.284,1,5.264,1,-0.113
1196,L,Esters,propyl decanoate,CCCCCCCCCC(=O)OCCC,C13H26O2,NREL (2014),CFR,0,53,0.789,58.34,0,4.022,0,3.615,0.88,0,0,0,9.847,0,11.563,0,0.447
1197,L,Esters,dibutyl (2Z)-but-2-enedioate,CCCCOC(=O)/C=C\C(=O)OCCCC,C12H20O4,?,?,0,28,0.571,10.94,0,4.583,0,2.696,0.807,2,0,0,5.553,0,10.36,0,-0.1
1198,L,Esters,"propyl (9Z,12Z,15Z)-octadeca-9,12,15-trienoate",CCCOC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,C21H36O2,NREL (2014),Other Ignition Delay Method,0,27,1.011,11.56,0,4.409,0,3.432,1.905,6,0,0,4.287,0,18.809,0,0.577
1199,L,Esters,methyl heptanoate,CCCCCCC(=O)OC,C8H16O2,Dahmen/Marquadt (ASG),IQT,0,34.2,0.465,22.74,0,3.975,0,2.769,0.034,0,0,0,11.485,0,6.636,0,0.44
1200,L,Esters,2-methoxyethanol,COCCO,C3H8O2,Dahmen/Marquadt (ASG),IQT,0,13.4,0.141,6.18,1,2.582,1,1.665,0,0,1,1,6.139,1,3.922,1,-0.125
1201,L,Esters,"butyl (9Z,12Z,15Z)-octadeca-9,12,15-trienoate",CCCCOC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,C22H38O2,?,?,0,29,1.109,12.5,0,4.409,0,3.539,1.92,6,0,0,2.911,0,19.857,0,0.496
1202,L,Esters,2-butoxyethan-1-ol,CCCCOCCO,C6H14O2 ,NREL (2014),Unknown,0,38,0.282,14.74,1,2.761,1,2.494,0.001,0,1,1,9.564,1,7.125,1,0.019
1203,L,Esters,ethyl octadecanoate,CCCCCCCCCCCCCCCCCC(=O)OCC,C20H40O2,?,?,0,86,1.946,146.56,0,4.022,0,4.411,2.449,0,0,0,17.264,0,18.636,0,1.239
1204,L,Esters,ethyl (9Z)-octadec-9-enoate,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,C20H38O2,?,?,0,61,1.405,13.39,0,4.169,0,3.915,2.091,2,0,0,13.808,0,18.377,0,1.148
1205,L,Esters,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,C18H30O2,NREL (2014),Other Ignition Delay Method,0,20,0.761,9.15,0,4.302,1,3.069,1.861,6,0,1,9.153,0,17.92,0,0.807
1206,L,Esters,"butyl (9Z,12Z)-octadeca-9,12-dienoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCC,C22H40O2,?,?,0,48,1.28,8.68,0,4.296,0,3.783,1.321,4,0,0,5.76,0,20.117,0,0.692
1207,L,Esters,ethyl valerate,CCCCC(=O)OCC,C7H14O2,Dahmen/Marquadt (ASG),IQT,0,16.8,0.258,14.9,0,4.022,0,2.491,0.017,0,0,0,6.125,0,5.508,0,0.224
1208,L,Esters,propyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCCC,C19H38O2,?,?,0,85,1.663,129.27,0,4.022,0,4.317,2.085,0,0,0,14.465,0,17.586,0,1.029
1209,L,Esters,propyl valerate,CCCCC(=O)OCCC,C8H16O,Dahmen/Marquadt (ASG),IQT,0,19.2,0.277,19.98,0,4.022,0,2.721,0.055,0,0,0,2.549,0,6.636,0,0.177
1210,L,Esters,1-ethoxy-2-(2-ethoxyethoxy)ethane,CCOCCOCCOCC,C8H18O3,?,?,0,123,0.37,5.91,3,3.577,0,3.356,0.298,0,0,0,2.536,3,9.883,0,0.074
1211,L,Esters,tetrahydrofurfuryl acetate,CC(=O)OCC1CCCO1,C7H12O3,Dahmen/Marquadt (ASG),IQT,0,16.4,-0.036,8.47,1,4.304,0,2.137,0.005,0,0,0,5.937,1,2.831,0,-0.137
1212,L,Esters,"1,4-diethoxybutane",CCOCCCCOCC,C8H18O2,?,?,0,97,0.515,42.88,2,3.186,0,3.181,0.015,0,0,0,0.001,2,9.067,0,0.115
1213,L,Esters,methyl tetradecanoate,CCCCCCCCCCCCCC(=O)OC,C15H30O2,Dahmen/Marquadt (ASG),IQT,0,71.7,1.392,84.57,0,3.975,0,3.942,1.629,0,0,0,17.945,0,13.573,0,1.149
1214,L,Esters,ethyl acetoacetate,CCOC(=O)CC(=O)C,C6H10O3,Dahmen/Marquadt (ASG),IQT,0,11.6,0.155,7.75,0,4.614,0,1.854,0.005,0,0,0,6.493,0,5.178,0,0.125
1215,L,Esters,isobutyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OCC(C)C,C20H40O2,NREL (2014),Unknown,0,84,1.694,112.63,0,4.124,0,4.286,2.809,0,0,0,12.872,0,18.636,0,1.326
1216,L,Esters,isopropyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OC(C)C,C19H38O2,?,?,0,83,1.585,117.3,0,4.165,0,4.276,2.064,0,0,0,13.083,0,17.586,0,1.434
1217,L,Esters,triethylene glycol monomethyl ether,OCCOCCOCCOC,C7H16O4,NREL (2014),IQT,0,80.7,0.29,7.39,3,3.595,1,2.921,0.133,0,1,1,2.873,3,9.844,1,-0.164
1218,L,Esters,methyl laurate,CCCCCCCCCCCC(=O)OC,C13H26O2,Dahmen/Marquadt (ASG),IQT,0,65.3,1.082,63.56,0,3.975,0,3.677,1.227,0,0,0,16.871,0,11.563,0,0.935
1219,L,Esters,ethyl hexanoate,CCCCCC(=O)OCC,C8H16O2,Dahmen/Marquadt (ASG),IQT,0,27.1,0.385,19.98,0,4.022,0,2.721,0.04,0,0,0,6.122,0,6.636,0,0.286
1220,L,Esters,1-(butoxymethoxy)butane,CCCCOCOCCCC,C9H20O2,?,?,0,80,0.461,5.77,2,3.186,0,3.24,0.064,0,0,0,4.982,2,9.922,0,0.168
1221,L,Esters,(9Z)-octadec-9-enoic acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,C18H34O2,NREL (2014),Other Ignition Delay Method,0,46,1.193,12.58,0,4.03,1,3.711,2.051,2,0,1,17.428,0,18.438,0,1.238
1222,L,Esters,"propyl (9Z,12Z)-octadeca-9,12-dienoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCC,C21H38O2,?,?,0,42,1.194,7.96,0,4.296,0,3.676,1.306,4,0,0,6.74,0,19.07,0,0.801
1223,L,Esters,methyl linolenate,CCC=CCC=CCC=CCCCCCCCC(=O)OC,C19H32O2,NREL (2014),IQT,0,37,1.179,17.84,0,4.377,0,3.238,3.028,6,0,0,10.013,0,16.804,0,1.027
1224,L,Esters,2-ethoxyethyl acetate,CCOCCOC(C)=O,C6H12O3,NREL (2014),"Blend (20%, method?)",0,40,0.282,7.43,1,4.18,0,2.275,0,0,0,0,10.139,1,7.597,0,0.051
1225,L,Esters,methyl linoleate,CCCCCC=CCC=CCCCCCCCC(=O)OC,C19H34O2,NREL (2014),IQT,0,43.9,1.239,10.83,0,4.26,0,3.49,3.835,4,0,0,14.308,0,17.065,0,1.359
1226,L,Esters,1-methoxypropan-2-ol,COCC(C)O,C4H10O2,?,?,0,19,0.171,3.84,1,3.082,1,1.783,0,0,0,1,4.379,1,5.264,1,-0.114
1227,L,Esters,menthyl acetate,CC1CCC(C(C1)OC(=O)C)C(C)C,C12H22O2,Dahmen/Marquadt (ASG),IQT,0,17.8,0.96,1.01,0,4.387,0,3.121,0,0,0,0,5.361,0,3.382,0,0.524
1228,L,Ethers,dibutyl ether,CCCCOCCCC,C8H18O,Dahmen/Marquadt (ASG),IQT,0,90.9,0.452,31.99,1,2.533,0,3.224,0.039,0,0,0,0.551,1,7.961,0,0.149
1229,L,Ethers,Tripropyleneglycol monomethyl ether (3-[3-(3-methoxypropoxy)propoxy]propan-1-ol) ,COCCCOCCCOCCCO,C10H22O4,NREL (2014),IQT,0,81.3,0.467,74.98,3,3.595,1,3.257,0.028,0,1,1,4.561,3,12.936,1,-0.33
