"DATAID","ASSIGNMENT","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Name","SMILES","Target","SpMax6_Bhs","R_TpiPCTPC","AATS3p","VP-0","SIC1","nsssSnH","MIC0","nN","nC","CIC2","R_TpiPCTPC","MLFER_L","maxsAsH2","WPOL","RNCG"
"UMLYSI0021","L","","CC1=CC=CC=C1C2=CC=CC=C2","863.3","2.422879808202139","6.406392694063927","1.5712082887296717","7.696152422706634","0.45034010597799584","0.0","6.3991649747002715","0","13","1.9859496196697823","6.406392694063927","6.784","0.0","17.0","0.09624610036510528"
"UMLYSI0022","L","","CCCCCC1=CC=C(C=C1)C2=CC=CC=C2","863.3","2.8001506762090846","5.772036474164134","1.3309092618906337","10.524579547452825","0.4715050350515756","0.0","6.6696073151609605","0","17","1.8256452708549915","5.772036474164134","8.780000000000001","0.0","21.0","0.07682243703091039"
"UMLYSI0023","V","","CCCCC1=CC=C(C=C1)C2=CC=CC=C2","847.7","2.7891148323831043","5.980456026058632","1.368335268189618","9.817472766266278","0.4820718058209442","0.0","6.630523010877894","0","16","1.7658558828619926","5.980456026058632","8.281","0.0","20.0","0.0819271946196083"
"UMLYSI0024","L","","CCCC1=CC=C(C=C1)C2=CC=CC=C2","821.5","2.7761740054399846","6.205673758865248","1.4153851046797692","9.11036598507973","0.48749778227045515","0.0","6.577472112674295","0","15","1.7431967747518633","6.205673758865248","7.781999999999999","0.0","19.0","0.08738641914567506"
"UMLYSI0025","V","","CCC1=CC=C(C=C1)C2=CC=CC=C2","811.1","2.712525994651987","6.413385826771654","1.47631849947849","8.403259203893182","0.47499871368117597","0.0","6.503912516","0","14","1.858539286332419","6.413385826771654","7.283","0.0","18.0","0.0893453611983807"
"UMLYSI0026","L","","C1CC2=CC=CC3=C2C1=CC=C3","805.8","2.346875904822904","5.987113402061856","1.5728952577554054","6.878315177510851","0.5411201791593216","0.0","6.244890828734465","0","12","1.5231715911057693","5.987113402061856","6.678","0.0","18.0","0.12206590758011826"
"UMLYSI0027","L","","CCC(C1=CC=CC=C1)C2=CC=CC=C2","805.8","2.771087915349787","4.901185770750988","1.4302694671886642","9.057959742272434","0.45339047987838504","0.0","6.577472112674295","0","15","2.112385272753679","4.901185770750988","7.337","0.0","20.0","0.0814717256127436"
"UMLYSI0028","V","","CC1=CC=CC2=C1C=CC=C2C","779.7","2.3015018148859365","5.956521739130435","1.6631578459879186","7.464101615137755","0.5226303649819144","0.0","6.503912516","0","12","1.792481250360579","5.956521739130435","6.322","0.0","18.0","0.11300272657870918"
"UMLYSI0029","T","","CC1=CC=CC(=C1)C2=CC=CC=C2","779.7","2.3955185815692506","6.393665158371041","1.5518539755594989","7.696152422706634","0.45034010597799584","0.0","6.3991649747002715","0","13","1.9215640006923098","6.393665158371041","6.784","0.0","16.0","0.0961283328288695"
"UMLYSI0030","V","","CC1=CC2=C(C=C1)C=C(C=C2)C","774.5","2.399619055713514","5.8268398268398265","1.6229008745939586","7.464101615137756","0.5226303649819144","0.0","6.503912516","0","12","1.792481250360579","5.8268398268398265","6.322","0.0","16.0","0.10774532539342913"
"UMLYSI0031","V","","CC1=CC=C(C=C1)C2=CC=CC=C2","769.3","2.5569676017768965","6.551569506726457","1.5518539755594989","7.696152422706634","0.45034010597799584","0.0","6.3991649747002715","0","13","2.0015640006923094","6.551569506726457","6.784","0.0","16.0","0.0961246779822912"
"UMLYSI0032","L","","CC1=CC2=CC=CC=C2C=C1C","748.4","2.1872464857193386","6.611353711790393","1.6430293602909385","7.464101615137755","0.5226303649819144","0.0","6.503912516","0","12","1.792481250360579","6.611353711790393","6.322","0.0","17.0","0.11324783088137663"
"UMLYSI0033","L","","CC1=C(C2=CC=CC=C2C=C1)C","743.1","2.426527529198968","6.650655021834061","1.6631578459879188","7.464101615137756","0.5226303649819144","0.0","6.503912516","0","12","1.6572682296173902","6.650655021834061","6.322","0.0","18.0","0.11341265875903433"
"UMLYSI0034","L","","CC1=CC2=CC=CC=C2C(=C1)C","743.1","2.313886810540028","6.691304347826087","1.643029360290938","7.464101615137755","0.5226303649819144","0.0","6.503912516","0","12","1.542481250360579","6.691304347826087","6.322","0.0","17.0","0.11331602555505178"
"UMLYSI0035","V","","C=C(C1=CC=CC=C1)C2=CC=CC=C2","743.1","2.5401581110098013","5.4298245614035086","1.5728952577554058","7.980609473082808","0.33726561673417566","0.0","6.289566003466317","0","14","2.441690132898617","5.4298245614035086","6.935999999999999","0.0","18.0","0.12410559803600466"
"UMLYSI0036","L","","CCC1=CC=CC2=CC=CC=C21","732.7","2.354355260205296","6.515555555555555","1.5120877302516775","7.248558665513929","0.5191471997233638","0.0","6.503912516","0","12","1.4965061233705685","6.515555555555555","6.345","0.0","17.0","0.10811851039486181"
"UMLYSI0037","V","","CC(C)(C1=CC=CC=C1)C2=CC=CC=C2","727.5","2.5840639072256506","4.901185770750988","1.5511328369276645","9.27350269189626","0.44036795816341096","0.0","6.577472112674295","0","15","2.459317127662178","4.901185770750988","7.153","0.0","22.0","0.07929273079975332"
"UMLYSI0038","L","","CC1=CC=C(C2=CC=CC=C12)C","711.8","2.5235112035891083","6.7043478260869565","1.6631578459879186","7.464101615137756","0.5226303649819144","0.0","6.503912516","0","12","1.792481250360579","6.7043478260869565","6.322","0.0","18.0","0.11346284758184705"
"UMLYSI0039","L","","CCC1=CC2=CC=CC=C2C=C1","701.3","2.36528397767993","6.469026548672566","1.4930985928016962","7.248558665513929","0.5191471997233638","0.0","6.503912516","0","12","1.4650524774470908","6.469026548672566","6.345","0.0","16.0","0.10799592750420742"
"UMLYSI0040","L","","CC1=CC=CC2=CC=CC=C12","649.1","2.146835097295681","6.721649484536083","1.608673362823749","6.5414518843273814","0.500666494117425","0.0","6.377551320619961","0","11","1.6150546171854119","6.721649484536083","5.845999999999999","0.0","15.0","0.11813114898683028"
"UMLYSI0041","L","","CC1=CC2=CC=CC=C2C=C1","649.1","2.156192259282751","6.670103092783505","1.585800083622636","6.5414518843273814","0.500666494117425","0.0","6.377551320619961","0","11","1.5791075932728655","6.670103092783505","5.845999999999999","0.0","14.0","0.1179526376869769"
"UMLYSI0042","V","","C1=CC=C(C=C1)C#CC2=CC=CC=C2","638.6","2.615647257279077","10.75462962962963","1.5343716314636584","7.77350269189626","0.3598769720338665","0.0","5.973635421676757","0","14","2.5303773313833573","10.75462962962963","6.3999999999999995","0.0","15.0","0.09164025824778149"
"UMLYSI0043","L","","C1=CC=C(C=C1)C2=CC=CC=C2","612.5","2.3531177610167258","6.465608465608466","1.5070992756259125","6.77350269189626","0.3024125070953595","0.0","6.244890828734465","0","12","2.6695025433272983","6.465608465608466","6.307999999999999","0.0","14.0","0.09954160301795813"
"UMLYSI0044","V","","C1=CC=C(C=C1)CC2=CC=CC=C2","612.5","2.581774602485378","5.387254901960785","1.4487948362739247","7.480609473082808","0.3932752521247714","0.0","6.3991649747002715","0","13","2.429162238128022","5.387254901960785","6.566999999999999","0.0","14.0","0.0893483335712102"
"UMLYSI0045","L","","CC1CCCC2=C1C=CC=C2C","607.3","2.3806059173390155","2.860869565217391","1.3930225230935394","7.930721420318147","0.5217864836724768","0.0","6.751545309820625","0","12","1.0094522323746569","2.860869565217391","5.996999999999999","0.0","18.0","0.112341900447208"
"UMLYSI0046","V","","CC1=C(C(=C(C(=C1C)C)C)C)C","565.4","2.712430886484519","3.0","1.7307806168421043","9.0","0.27939294095564665","0.0","6.790894279573414","0","12","3.53594000115385","3.0","5.8","0.0","21.0","0.08825517321077361"
"UMLYSI0047","L","","CC1=CC=C(C=C1)CCC2=CC=C(C=C2)C","549.8","2.780009740319498","4.431159420289855","1.4666150682505579","10.033015715890103","0.4610784112093922","0.0","6.630523010877894","0","16","2.3385227942449105","4.431159420289855","8.018","0.0","19.0","0.07421754738183226"
"UMLYSI0048","V","","CC1=CC(=C(C=C1)C)C#C","512.7","1.84437660528158","3.8947368421052633","1.6534147787458062","6.309401076758504","0.6642754186148697","0.0","6.503912516","0","10","1.2132331253245212","3.8947368421052633","4.383","0.0","12.0","0.22549932420928712"
"UMLYSI0049","V","","CC1=CC2=CC=CC=C2C1","500.1","2.0644719375593703","4.421383647798742","1.5045471284415963","6.093858127134677","0.5970673197396387","0.0","6.503912516","0","10","1.0182263988300146","4.421383647798742","5.167","0.0","11.0","0.14590607944007952"
"UMLYSI0050","L","","C1=CC=C2C=CC=C2C=C1","492.3","1.322370743353972","6.86875","1.569083682797283","5.618802153517008","0.3338542595329682","0.0","6.177348133484644","0","10","2.333333333333333","6.86875","5.37","0.0","13.0","0.12430237499718301"
"UMLYSI0051","L","","CC1=CC=CC=C1C#C","485","1.0414120284840436","4.116883116883117","1.6051030661515675","5.386751345948129","0.7013120894701713","0.0","6.344815581266023","0","9","0.8679345589507923","4.116883116883117","3.907","0.0","10.0","0.23589554709061933"
"UMLYSI0052","L","","CC1=CC(=C(C(=C1C)C)C)C","481.8","2.3743091350338688","2.9827586206896552","1.671996206666666","8.077350269189626","0.362662493605578","0.0","6.784181072660866","0","11","2.8506624781751135","2.9827586206896552","5.324","0.0","17.0","0.11571290386354774"
"UMLYSI0053","L","","CCC#CC1=CC=CC=C1","480.8","1.7000265479198027","5.122222222222222","1.34656895329139","6.093858127134678","0.5970673197396387","0.0","6.503912516","0","10","1.2559707739381882","5.122222222222222","4.251","0.0","9.0","0.1970678799935754"
"UMLYSI0054","L","","C1=CC=C(C=C1)CCC2=CC=CC=C2","471.4","2.7314464990939973","4.449074074074074","1.3850230161617125","8.187716254269356","0.4172726465898615","0.0","6.503912516","0","14","2.454609141185734","4.449074074074074","7.066","0.0","15.0","0.08284994928553262"
"UMLYSI0055","T","","CC1=CC(=C(C=C1)C)C=C","469.3","1.9308232167221693","3.4","1.5549461164523668","6.516507857945051","0.5615059813609192","0.0","6.685280238679743","0","10","1.341353409287588","3.4","4.764","0.0","12.0","0.1879715271300171"
"UMLYSI0056","T","","C1CCC(=CC1)C2=CC=CC=C2","468","2.471526638234235","3.513227513227513","1.289147607958183","7.292528739883947","0.5489831493355712","0.0","6.66268247281356","0","12","1.3986356914077036","3.513227513227513","6.188000000000001","0.0","14.0","0.13399831475241847"
"UMLYSI0057","V","","C1C=CC2=CC=CC=C21","467.7","1.2187797166574947","4.410852713178294","1.4208946649748344","5.171208396324302","0.5809364245267403","0.0","6.344815581266023","0","9","1.035861204378636","4.410852713178294","4.691","0.0","9.0","0.18034736353747619"
"UMLYSI0058","L","","C1CC2=CC=CC=C2C=C1","466.1","1.6481263096729442","4.478260869565218","1.3989688680529793","5.87831517751085","0.5705687986494468","0.0","6.503912516","0","10","1.180482023721841","4.478260869565218","5.19","0.0","12.0","0.16877443566475675"
"UMLYSI0059","L","","C1=CC=C2C=CC=CC2=C1","466.1","1.3639273140177495","6.701863354037267","1.5369832533972114","5.618802153517007","0.3338542595329682","0.0","6.177348133484644","0","10","2.333333333333333","6.701863354037267","5.37","0.0","12.0","0.12318257368705661"
"UMLYSI0060","V","","C#CCC1=CC=CC=C1","443.7","1.1341408052233275","3.8","1.4595804357869688","5.171208396324303","0.6370640731780128","0.0","6.344815581266023","0","9","1.1979134103882516","3.8","3.9299999999999997","0.0","8.0","0.2138956302365122"
"UMLYSI0061","T","","CCC1=CC=C(C=C1)C#C","442.6","1.689780355845739","3.882978723404255","1.4488638317638984","6.093858127134677","0.6805865360520722","0.0","6.503912516","0","10","0.9377443751081742","3.882978723404255","4.406","0.0","11.0","0.214924820610672"
"UMLYSI0062","L","","C1CC2=CC=CC=C2C1","439.5","1.5377422013057174","3.0930232558139537","1.2813694350725882","5.430721420318145","0.5600359185440834","0.0","6.618775012237978","0","9","1.3684210526315788","3.0930232558139537","4.7509999999999994","0.0","9.0","0.14390827509112628"
"UMLYSI0063","T","","CC(=CC1=CC=CC=C1)C","436.9","2.055007617716019","3.9555555555555557","1.4160437146194156","6.464101615137755","0.5053453896541611","0.0","6.685280238679743","0","10","1.8079289777644245","3.9555555555555557","4.834","0.0","9.0","0.13997021779560784"
"UMLYSI0064","L","","CC#CC1=CC=CC=C1","427.5","1.1664141842876061","4.706666666666667","1.5108450470146677","5.38675134594813","0.5974179131263059","0.0","6.344815581266023","0","9","1.3599656163978677","4.706666666666667","3.752","0.0","8.0","0.22564322029828443"
"UMLYSI0065","L","","C1=CC=C(C=C1)CCCC2=CC=CC=C2","413.9","2.7827845627619663","3.7333333333333334","1.3371941510775534","8.894823035455904","0.44036795816341096","0.0","6.577472112674295","0","15","2.2815824501032447","3.7333333333333334","7.5649999999999995","0.0","16.0","0.07734087806779355"
"UMLYSI0066","T","","CC1=CC=C(C=C1)C(C)(C)C","410.8","2.554160246344358","2.8181818181818183","1.4542403293282982","7.809401076758503","0.48766605370368865","0.0","6.784181072660866","0","11","2.0014481487891764","2.8181818181818183","4.981","0.0","13.0","0.10732538270584747"
